epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,160.573,0.54633,0.55797,0.15758,0.60559,0.55539,0.54614,0.24133,0.72576,0.67021,0.29467,0.000474428,0.000474428,0.000474428
2,304.153,0.57771,0.60006,0.17315,0.5176,0.52528,0.49093,0.21746,nan,nan,nan,0.000888011,0.000888011,0.000888011
3,446.533,0.58314,0.61956,0.16914,0.54302,0.54505,0.50598,0.23112,0.70851,0.69577,0.28561,0.00123872,0.00123872,0.00123872
4,588.823,0.57836,0.60528,0.17126,0.58182,0.4852,0.49423,0.21896,nan,nan,nan,0.00114606,0.00114606,0.00114606
5,731.16,0.58934,0.61015,0.17818,0.54408,0.55502,0.50265,0.2183,0.73642,0.67789,0.30175,0.00105174,0.00105174,0.00105174
6,874.339,0.53778,0.58798,0.1832,0.59167,0.50599,0.52592,0.23217,0.7278,0.67808,0.28586,0.00095743,0.00095743,0.00095743
7,1017.11,0.51263,0.54593,0.17133,0.5823,0.53199,0.53399,0.23081,0.74687,0.64761,0.29439,0.000863116,0.000863116,0.000863116
8,1159.83,0.49578,0.54656,0.16422,0.55046,0.57844,0.52987,0.23906,0.72551,0.68872,0.29272,0.000768802,0.000768802,0.000768802
9,1302.98,0.4835,0.52811,0.15728,0.55335,0.5659,0.5381,0.24202,0.7334,0.65133,0.29423,0.000674488,0.000674488,0.000674488
10,1446.11,0.4783,0.51276,0.15382,0.58469,0.5386,0.5236,0.22986,0.74426,0.67663,0.31047,0.000580174,0.000580174,0.000580174
11,1588.92,0.4735,0.49632,0.15412,0.5918,0.54836,0.54149,0.2405,0.73266,0.66532,0.29644,0.00048586,0.00048586,0.00048586
12,1731.89,0.4475,0.48955,0.14195,0.62346,0.53855,0.54574,0.24713,0.71836,0.68027,0.27623,0.000391546,0.000391546,0.000391546
13,1874.89,0.42791,0.47748,0.13707,0.61222,0.55116,0.55122,0.25043,0.73645,0.66413,0.29715,0.000297232,0.000297232,0.000297232
14,2018.19,0.42557,0.45772,0.13669,0.62367,0.56035,0.56426,0.25316,0.75127,0.64886,0.31274,0.000202918,0.000202918,0.000202918
15,2161.44,0.40449,0.44768,0.12814,0.65228,0.517,0.55641,0.25099,0.74557,0.66701,0.30449,0.000108604,0.000108604,0.000108604
